latitud,longitud,pot,usuario,fecha,test_name,observacion,operador,rssi,marca,imsi,modelo,id
-17.386505,-66.160029,-56,andy2662,2021-10-17 12:52:41.721000+00:00,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,748
-17.387339,-66.159874,-54,andy2662,2021-10-17 12:52:32.261000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,747
-17.387741,-66.159799,-60,andy2662,2021-10-17 12:52:06.718000+00:00,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,746
-17.388329,-66.159685,-55,andy2662,2021-10-17 12:51:55.732000+00:00,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,745
-17.389138,-66.159541,-62,andy2662,2021-10-17 12:51:41.722000+00:00,Centro Prueba 1,Ninguna,Entel,25,ZTE CORPORATION,736023035923079,MF193A,744
-17.389504,-66.15946,-54,andy2662,2021-10-17 12:51:32.718000+00:00,Centro Prueba 1,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,743
-17.389944,-66.159325,-56,andy2662,2021-10-17 12:51:23.719000+00:00,Centro Prueba 1,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,742
-17.390472,-66.159212,-56,andy2662,2021-10-17 12:51:14.303000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,741
-17.390871,-66.159198,-51,andy2662,2021-10-17 12:51:04.718000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,740
-17.391226,-66.159128,-49,andy2662,2021-10-17 12:50:55.721000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,739
-17.391997,-66.158956,-38,andy2662,2021-10-17 12:50:46.255000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,738
-17.391546,-66.158874,-48,andy2662,2021-10-17 12:42:11.737000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,737
-17.392378,-66.158806,-54,andy2662,2021-10-17 12:41:46.735000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,736
-17.392499,-66.158735,-48,andy2662,2021-10-17 12:41:36.737000+00:00,Centro Prueba 1,Ninguna,Entel,29,ZTE CORPORATION,736023035923079,MF193A,735
-17.392493,-66.158628,-50,andy2662,2021-10-17 12:41:08.750000+00:00,Centro Prueba 1,Ninguna,Entel,24,ZTE CORPORATION,736023035923079,MF193A,734
-17.392392,-66.158158,-56,andy2662,2021-10-17 12:40:58.737000+00:00,Centro Prueba 1,Ninguna,Entel,24,ZTE CORPORATION,736023035923079,MF193A,733
-17.392218,-66.157848,-56,andy2662,2021-10-17 12:40:48.736000+00:00,Centro Prueba 1,Ninguna,Entel,23,ZTE CORPORATION,736023035923079,MF193A,732
-17.391967,-66.157935,-58,andy2662,2021-10-17 12:40:33.317000+00:00,Centro Prueba 1,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,731
-17.391219,-66.158033,-45,andy2662,2021-10-17 12:40:14.298000+00:00,Centro Prueba 1,Ninguna,Entel,29,ZTE CORPORATION,736023035923079,MF193A,730
-17.390406,-66.158278,-53,andy2662,2021-10-17 12:34:35.690000+00:00,Centro Prueba 1,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,729
