latitud,longitud,pot,usuario,fecha,test_name,observacion,operador,rssi,marca,imsi,modelo
-17.356868,-66.200065,-63,paco1,2021-05-25 19:26:37.759403,prueba de paco1,nada,Tigo,25,ZTE CORPORATION,736030057419257,MF193A
-17.356835,-66.200061,-59,paco1,2021-05-25 19:26:08.757207,prueba de paco,nada,Tigo,27,ZTE CORPORATION,736030057419257,MF193A
-17.356807,-66.200072,-57,andres,2021-05-24 14:16:42.736213,test1,nada,Tigo,28,ZTE CORPORATION,736030057419257,MF193A
-17.356801,-66.200053,-63,andres,2021-05-24 14:11:06.743697,test1,nada aun,Tigo,25,ZTE CORPORATION,736030057419257,MF193A
-17.392582,-66.158859,-53,andres,2021-05-23 18:16:35.788637,test2,nada,Tigo,30,ZTE CORPORATION,736030057419257,MF193A
-17.354574,-66.187693,-55,andres,2021-05-23 17:57:58.760311,test2,nada,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
-17.356852,-66.200082,-55,andres,2021-05-23 17:55:48.753438,test2,nada,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
-17.329842,-66.225250,-55,andres,2021-05-23 17:54:34.758370,test1,Univalle,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
-17.356867,-66.200086,-55,andres,2021-05-23 17:53:32.769011,test1,nada aun,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
-17.356861,-66.200069,-55,andres,2021-05-23 17:50:43.737209,test1,nada aun,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
-17.356879,-66.200108,-57,andres,2021-05-23 17:48:06.722632,test1,nada aun,Tigo,28,ZTE CORPORATION,736030057419257,MF193A
-17.356868,-66.200025,-55,andres,2021-05-23 17:46:34.728526,test1,nada aun,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
-17.356876,-66.19999,-53,andres,2021-05-23 17:44:59.725179,test1,nada aun,Tigo,30,ZTE CORPORATION,736030057419257,MF193A
-17.356862,-66.20005,-53,andres,2021-05-23 17:41:37.720813,test1,nada aun,Tigo,30,ZTE CORPORATION,736030057419257,MF193A
-17.356889,-66.200072,-53,andres,2021-05-23 17:40:39.724052,test1,nada aun,Tigo,30,ZTE CORPORATION,736030057419257,MF193A
-17.356848,-66.200061,-55,andres,2021-05-23 17:34:13.726561,test1,nada,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
-17.356835,-66.200052,-55,andres,2021-05-23 16:55:54.783726,test2,es una prueba3,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
-17.356834,-66.200049,-55,andres,2021-05-23 16:55:45.760929,test2,es una prueba2,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
-17.35683,-66.200049,-55,andres,2021-05-23 16:55:36.762967,test2,es una prueba1,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
-17.356835,-66.200051,-55,andres,2021-05-23 16:55:25.761416,test2,es una prueba,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
-17.356817,-66.200035,-55,andres,2021-05-23 16:54:49.760548,test1,es una prueba,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
