radio,mcc,operador,lac,cell_id,unit,longitude,latitude,range,samples,changeable,created,updated,averageSignal
LTE,736,3,47314,2590465,0,-63.157392,-17.832345,7565,8,1,1441054158,1505609459,0
LTE,736,1,30003,3372035,0,-63.196261,-17.774172,1000,6,1,1441304880,1505403160,0
LTE,736,3,57310,2614786,0,-63.146742,-17.768274,1045,13,1,1441307341,1505302772,0
LTE,736,3,47348,2591233,0,-63.145381,-17.772501,3550,58,1,1441307837,1506510633,0
LTE,736,3,47500,7695105,0,-64.751387,-21.53323,1444,10,1,1441387233,1494710976,0
LTE,736,3,47346,2596868,0,-63.199533,-17.800299,3217,21,1,1441745102,1506180392,0
LTE,736,3,47346,2562821,0,-63.192961,-17.796379,1196,26,1,1441745165,1506606767,0
LTE,736,3,47348,2592514,0,-63.143275,-17.800495,1357,39,1,1441758915,1506118168,0
LTE,736,3,47348,2646788,0,-63.15529,-17.780023,5152,41,1,1441768536,1506632505,0
LTE,736,3,47346,2638086,0,-63.179302,-17.797103,4392,66,1,1441769187,1506568762,0
LTE,736,3,47340,2581510,0,-63.172752,-17.755037,3926,60,1,1441769317,1506633265,0
LTE,736,3,47342,2562052,0,-63.185766,-17.77261,1217,19,1,1441917399,1505648820,0
LTE,736,3,27258,18001153,0,-68.187625,-16.487409,3187,23,1,1442088839,1505842515,0
LTE,736,3,47340,2569985,0,-63.175418,-17.754497,2369,12,1,1442100150,1506468706,0
LTE,736,3,47342,2583042,0,-63.201303,-17.770929,4295,3,1,1442106252,1494688189,0
LTE,736,3,47346,2563075,0,-63.184311,-17.792699,3141,28,1,1442106253,1506017194,0
LTE,736,3,47346,2597125,0,-63.18439,-17.796792,1574,15,1,1442106311,1506037955,0
LTE,736,3,47342,2636805,0,-63.200247,-17.783995,3577,16,1,1442106814,1506530304,0
LTE,736,3,47342,2636806,0,-63.207406,-17.78232,1012,8,1,1442106932,1506570861,0
LTE,736,3,47346,2565889,0,-63.191368,-17.793667,3037,40,1,1442441290,1505936922,0
LTE,736,3,47500,7709954,0,-64.725418,-21.540475,2383,26,1,1443378027,1506524390,0
LTE,736,3,47500,7733250,0,-64.726326,-21.542308,2153,19,1,1443378217,1506520558,0
LTE,736,3,47346,2652420,0,-63.180836,-17.799773,3881,25,1,1443484946,1506573356,0
LTE,736,3,47316,2624259,0,-63.126845,-17.83025,1000,11,1,1443647210,1505247652,0
